accession	gene	function	normal	MMS
YGL141W	HUL5	Ubiquitin-conjugating enzyme (E4), elongates polyubiquitin chains on substrate proteins	NA	NA
YGL145W	TIP20	Peripheral membrane protein required for fusion of COPI vesicles with the ER	NA	NA
YGL146C	RRT6	Putative protein of unknown function	Down	Down
YGL147C	RPL9A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl9Bp and has similarity to E. coli L6 and rat L9 ribosomal proteins	Down	Down
YGL148W	ARO2	Bifunctional chorismate synthase and flavin reductase, catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids	Down	NA
YGL150C	INO80	ATPase, subunit of a complex containing actin and several actin-related proteins that has chromatin remodeling activity and 3' to 5' DNA helicase activity in vitro	NA	NA
YGL151W	NUT1	Component of the RNA polymerase II mediator complex, which is required for transcriptional activation and also has a role in basal transcription	NA	NA
YGL153W	PEX14	Peroxisomal membrane peroxin that is a central component of the peroxisomal protein import machinery	NA	Up
YGL156W	AMS1	Vacuolar alpha mannosidase, involved in free oligosaccharide (fOS) degradation	NA	NA
YGL157W	ARI1	NADPH-dependent aldehyde reductase, utilizes aromatic and alophatic aldehyde substrates	NA	NA
YGL158W	RCK1	Protein kinase involved in the response to oxidative stress	NA	NA
YGL159W	YGL159W	Putative protein of unknown function	NA	NA
YGL163C	RAD54	DNA-dependent ATPase, stimulates strand exchange by modifying the topology of double-stranded DNA	NA	NA
YGL167C	PMR1	High affinity Ca2+/Mn2+ P-type ATPase required for Ca2+ and Mn2+ transport into Golgi	NA	NA
YGL170C	SPO74	Component of the meiotic outer plaque of the spindle pole body, involved in modifying the meiotic outer plaque that is required prior to prospore membrane formation	NA	NA
YGL173C	KEM1	Evolutionarily-conserved 5'-3' exonuclease component of cytoplasmic processing (P) bodies involved in mRNA decay	NA	NA
YGL174W	BUD13	Subunit of the RES complex, which is required for nuclear pre-mRNA retention and splicing	NA	NA
YGL178W	MPT5	Member of the Puf family of RNA-binding proteins	NA	NA
YGL180W	ATG1	Protein ser/thr kinase required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway	NA	NA
YGL183C	MND1	Protein required for recombination and meiotic nuclear division	NA	NA
YGL184C	STR3	Cystathionine beta-lyase, converts cystathionine into homocysteine	NA	NA
YGL187C	COX4	Subunit IV of cytochrome c oxidase, the terminal member of the mitochondrial inner membrane electron transport chain	NA	NA
YGL191W	COX13	Subunit VIa of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain	NA	NA
YGL192W	IME4	Probable mRNA N6-adenosine methyltransferase required for entry into meiosis	NA	NA
YGL195W	GCN1	Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn20p	NA	NA
YGL197W	MDS3	Putative component of the TOR regulatory pathway	NA	NA
YGL200C	EMP24	Integral membrane component of endoplasmic reticulum-derived COPII-coated vesicles, which function in ER to Golgi transport	NA	NA
YGL201C	MCM6	Protein involved in DNA replication	NA	NA
YGL202W	ARO8	Aromatic aminotransferase I, expression is regulated by general control of amino acid biosynthesis	Down	Down
YGL205W	POX1	Fatty-acyl coenzyme A oxidase, involved in the fatty acid beta-oxidation pathway	NA	NA
YGL206C	CHC1	Clathrin heavy chain, subunit of the major coat protein involved in intracellular protein transport and endocytosis	NA	NA
YGL207W	SPT16	Subunit of the heterodimeric FACT complex (Spt16p-Pob3p), which associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases	NA	NA
YGL221C	NIF3	Protein of unknown function, similar to Listeria monocytogenes major sigma factor (rpoD gene product)	NA	NA
YGL222C	EDC1	RNA-binding protein, activates mRNA decapping directly by binding to the mRNA substrate and enhancing the activity of the decapping proteins Dcp1p and Dcp2p	NA	NA
YGL227W	VID30	Protein involved in proteasome-dependent catabolite degradation of fructose-1,6-bisphosphatase (FBPase)	NA	NA
YGL228W	SHE10	Putative glycosylphosphatidylinositol (GPI)-anchored protein of unknown function	NA	NA
YGL232W	TAN1	Putative tRNA acetyltransferase, RNA-binding protein required for the formation of the modified nucleoside N(4)-acetylcytidine in serine and leucine tRNAs but not required for the same modification in 18S rRNA	NA	NA
YGL234W	ADE5	Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway, contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities	NA	NA
YGL240W	DOC1	Processivity factor required for the ubiquitination activity of the anaphase promoting complex (APC), mediates the activity of the APC by contributing to substrate recognition	NA	NA
YGL241W	KAP114	Karyopherin, responsible for nuclear import of Spt15p, Sua7p, histones H2A and H2B, and Nap1p	NA	NA
YGL243W	TAD1	tRNA-specific adenosine deaminase, deaminates adenosine-37 to inosine in tRNA-Ala	NA	NA
YGL244W	RTF1	Subunit of the RNA polymerase II-associated Paf1 complex	NA	NA
YGL245W	GUS1	Glutamyl-tRNA synthetase (GluRS), forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p	NA	Down
YGL246C	RAI1	Nuclear protein with decapping endonuclease activity targeted toward mRNAs with unmethylated 7-methylguanosine cap structures	NA	NA
YGL251C	HFM1	Meiosis specific DNA helicase involved in the conversion of double-stranded breaks to later recombination intermediates and in crossover control	NA	NA
YGL253W	HXK2	Hexokinase isoenzyme 2 that catalyzes phosphorylation of glucose in the cytosol	Down	Down
YGR001C	YGR001C	Putative protein of unknown function with similarity to methyltransferase family members	NA	NA
YGR002C	SWC4	Component of the Swr1p complex that incorporates Htz1p into chromatin	NA	NA
YGR003W	CUL3	Ubiquitin-protein ligase, member of the cullin family with similarity to Cdc53p and human CUL3	NA	Down
YGR008C	STF2	Protein involved in regulation of the mitochondrial F1F0-ATP synthase	NA	Up
YGR012W	YGR012W	Putative cysteine synthase, localized to the mitochondrial outer membrane	NA	NA
YGR013W	SNU71	Component of U1 snRNP required for mRNA splicing via spliceosome	NA	NA
YGR019W	UGA1	Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways	NA	NA
YGR020C	VMA7	Subunit F of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system	Down	NA
YGR026W	YGR026W	Putative protein of unknown function	NA	NA
YGR027C	RPS25A	Protein component of the small (40S) ribosomal subunit	NA	NA
YGR030C	POP6	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	NA	NA
YGR031W	YGR031W	Putative protein of unknown function	NA	NA
YGR032W	GSC2	Catalytic subunit of 1,3-beta-glucan synthase, involved in formation of the inner layer of the spore wall	NA	NA
YGR034W	RPL26B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl26Ap and has similarity to E. coli L24 and rat L26 ribosomal proteins	NA	Up
YGR037C	ACB1	Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes	Down	Down
YGR043C	NQM1	Transaldolase of unknown function	NA	NA
YGR047C	TFC4	One of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)	NA	NA
YGR054W	YGR054W	Eukaryotic initiation factor (eIF) 2A	NA	NA
YGR061C	ADE6	Formylglycinamidine-ribonucleotide (FGAM)-synthetase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway	Down	NA
YGR068C	ART5	Protein proposed to regulate the endocytosis of plasma membrane proteins by recruiting the ubiquitin ligase Rsp5p to its target in the plasma membrane	NA	NA
YGR070W	ROM1	GDP/GTP exchange protein (GEP) for Rho1p	NA	NA
YGR074W	SMD1	Core Sm protein Sm D1	NA	NA
YGR077C	PEX8	Intraperoxisomal organizer of the peroxisomal import machinery, tightly associated with the lumenal face of the peroxisomal membrane, essential for peroxisome biogenesis, binds PTS1-signal receptor Pex5p	NA	NA
YGR078C	PAC10	Part of the heteromeric co-chaperone GimC/prefoldin complex, which promotes efficient protein folding	NA	NA
YGR079W	YGR079W	Putative protein of unknown function	NA	NA
YGR082W	TOM20	Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins	NA	Down
YGR084C	MRP13	Mitochondrial ribosomal protein of the small subunit	NA	NA
YGR085C	RPL11B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl11Ap	Down	NA
YGR086C	PIL1	Primary component of eisosomes, which are large immobile cell cortex structures associated with endocytosis	NA	Up
YGR087C	PDC6	Minor isoform of pyruvate decarboxylase, decarboxylates pyruvate to acetaldehyde, involved in amino acid catabolism	NA	NA
YGR088W	CTT1	Cytosolic catalase T, has a role in protection from oxidative damage by hydrogen peroxide	NA	NA
YGR089W	NNF2	Protein that exhibits physical and genetic interactions with Rpb8p, which is a subunit of RNA polymerases I, II, and III	NA	NA
YGR090W	UTP22	Possible U3 snoRNP protein involved in maturation of pre-18S rRNA, based on computational analysis of large-scale protein-protein interaction data	NA	NA
YGR091W	PRP31	Splicing factor, component of the U4/U6-U5 snRNP complex	NA	NA
YGR094W	VAS1	Mitochondrial and cytoplasmic valyl-tRNA synthetase	NA	Up
YGR096W	TPC1	Mitochondrial membrane transporter that mediates uptake of the essential cofactor thiamine pyrophosphate (ThPP) into mitochondria	NA	NA
YGR097W	ASK10	Component of RNA polymerase II holoenzyme, phosphorylated in response to oxidative stress	NA	NA
YGR098C	ESP1	Separase, a caspase-like cysteine protease that promotes sister chromatid separation by mediating dissociation of the cohesin Scc1p from chromatin	NA	NA
YGR103W	NOP7	Component of several different pre-ribosomal particles	NA	NA
YGR109W-A	YGR109W-A	Retrotransposon TYA Gag gene co-transcribed with TYB Pol	NA	NA
YGR109W-B	YGR109W-B	Retrotransposon TYA Gag and TYB Pol genes	NA	NA
YGR110W	CLD1	Mitochondrial cardiolipin-specific phospholipase	NA	NA
YGR116W	SPT6	Transcription elongation factor required for the maintenance of chromatin structure during transcription in order to inhibit transcription from promoters within the coding region	NA	NA
YGR118W	RPS23A	Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit, required for translational accuracy	Down	NA
YGR119C	NUP57	Nucleoporin, essential subunit of the nuclear pore complex (NPC), functions as the organizing center of an NPC subcomplex containing Nsp1p, Nup49p, Nup57p, and Nic96p	NA	NA
YGR124W	ASN2	Asparagine synthetase, isozyme of Asn1p	Down	Down
YGR126W	YGR126W	Putative protein of unknown function	NA	NA
YGR130C	YGR130C	Putative protein of unknown function	NA	NA
YGR132C	PHB1	Subunit of the prohibitin complex (Phb1p-Phb2p), a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins	NA	NA
YGR135W	PRE9	Alpha 3 subunit of the 20S proteasome, the only nonessential 20S subunit	NA	NA
YGR136W	LSB1	Protein containing an N-terminal SH3 domain	NA	NA
YGR147C	NAT2	Protein with an apparent role in acetylation of N-terminal methionine residues	NA	NA
YGR148C	RPL24B	Ribosomal protein L30 of the large (60S) ribosomal subunit, nearly identical to Rpl24Ap and has similarity to rat L24 ribosomal protein	NA	NA
YGR155W	CYS4	Cystathionine beta-synthase, catalyzes synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis	Up	Up
YGR157W	CHO2	Phosphatidylethanolamine methyltransferase (PEMT), catalyzes the first step in the conversion of phosphatidylethanolamine to phosphatidylcholine during the methylation pathway of phosphatidylcholine biosynthesis	NA	NA
YGR159C	NSR1	Nucleolar protein that binds nuclear localization sequences, required for pre-rRNA processing and ribosome biogenesis	NA	NA
YGR162W	TIF4631	Translation initiation factor eIF4G, subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p)	NA	Down
YGR165W	MRPS35	Mitochondrial ribosomal protein of the small subunit	NA	NA
YGR167W	CLC1	Clathrin light chain, subunit of the major coat protein involved in intracellular protein transport and endocytosis	NA	NA
YGR169C	PUS6	tRNA:pseudouridine synthase, catalyzes the conversion of uridine to pseudouridine at position 31 in cytoplasmic and mitochondrial tRNAs	NA	NA
YGR170W	PSD2	Phosphatidylserine decarboxylase of the Golgi and vacuolar membranes, converts phosphatidylserine to phosphatidylethanolamine	NA	NA
YGR171C	MSM1	Mitochondrial methionyl-tRNA synthetase (MetRS), functions as a monomer in mitochondrial protein synthesis	NA	NA
YGR173W	RBG2	Protein with a role in translation	NA	NA
YGR175C	ERG1	Squalene epoxidase, catalyzes the epoxidation of squalene to 2,3-oxidosqualene	NA	NA
YGR177C	ATF2	Alcohol acetyltransferase, may play a role in steroid detoxification	NA	NA
YGR178C	PBP1	Component of glucose deprivation induced stress granules, involved in P-body-dependent granule assembly	NA	NA
YGR180C	RNR4	Ribonucleotide-diphosphate reductase (RNR), small subunit	Down	Down
YGR181W	TIM13	Mitochondrial intermembrane space protein, forms a complex with Tim8p that delivers a subset of hydrophobic proteins to the TIM22 complex for insertion into the inner membrane	NA	NA
YGR184C	UBR1	E3 ubiquitin ligase (N-recognin), forms heterodimer with Rad6p to ubiquitinate substrates in the N-end rule pathway	NA	NA
YGR185C	TYS1	Cytoplasmic tyrosyl-tRNA synthetase, required for cytoplasmic protein synthesis	Down	Down
YGR186W	TFG1	TFIIF (Transcription Factor II) largest subunit	NA	NA
YGR187C	HGH1	Nonessential protein of unknown function	NA	NA
YGR188C	BUB1	Protein kinase that forms a complex with Mad1p and Bub3p that is crucial in the checkpoint mechanism required to prevent cell cycle progression into anaphase in the presence of spindle damage, associates with centromere DNA via Skp1p	NA	NA
YGR189C	CRH1	Chitin transglycosylase that functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall	NA	NA
YGR191W	HIP1	High-affinity histidine permease, also involved in the transport of manganese ions	NA	NA
YGR192C	TDH3	Glyceraldehyde-3-phosphate dehydrogenase, isozyme 3, involved in glycolysis and gluconeogenesis	NA	Up
YGR193C	PDX1	Dihydrolipoamide dehydrogenase (E3)-binding protein (E3BP) of the mitochondrial pyruvate dehydrogenase (PDH) complex, plays a structural role in the complex by binding and positioning E3 to the dihydrolipoamide acetyltransferase (E2) core	NA	NA
YGR194C	XKS1	Xylulokinase, converts D-xylulose and ATP to xylulose 5-phosphate and ADP	NA	NA
YGR198W	YPP1	Cargo-transport protein involved in endocytosis	NA	NA
YGR204W	ADE3	Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase, involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine	Down	Down
